Training_Record_ID,Batch_ID,Associate_ID,Experience_Level,RCM_Function,Client,Trainer_ID,Training_Type,Training_Mode,Training_Start_Date,Training_End_Date,Planned_Days,Actual_Days,Planned_Hours,Actual_Training_Hours,Productive_Hours,Non_Productive_Hours,Trainer_Available_Hours,Trainer_Utilization_Pct,Assessment_Score,Assessment_Attempts,First_Pass,Quality_Score,Productivity_Score,Floor_Support_Cases,Knowledge_Gap_Count,Retraining_Hours,Completion_Status,Month,Training_Week,Extended Training 
1,BAT202603-01,ASS0001,Fresher,CBR,Client Alpha,TR007,Generic Training,Classroom,2026-03-17 00:00:00,2026-03-21 00:00:00,5,5,40,38.3,31.4,6.9,38.7,99,76,1,Yes,81.8,84.4,1,0,0.9,Completed,Mar-2026,12,0
2,BAT202603-01,ASS0001,Fresher,CBR,Client Alpha,TR007,CST,Floor,2026-03-22 00:00:00,2026-03-24 00:00:00,3,3,24,19.8,14.4,5.4,23.6,83.9,67,3,No,95.1,81,2,0,3.4,Completed,Mar-2026,12,0
3,BAT202603-01,ASS0001,Fresher,CBR,Client Alpha,TR007,LAW,Floor,2026-03-25 00:00:00,2026-04-03 00:00:00,10,10,80,79.8,70.1,9.7,77.8,102.6,78,1,Yes,89,87.7,6,1,1.9,Completed,Mar-2026,13,0
4,BAT202604-01,ASS0001,Fresher,CBR,Client Alpha,TR007,OJT,Virtual,2026-04-04 00:00:00,2026-04-28 00:00:00,25,25,200,179.5,134,45.5,193.4,92.8,98,1,Yes,86.8,86.2,3,0,0.4,Completed,Apr-2026,14,0
5,BAT202601-01,ASS0002,Experienced,Billing,Client Alpha,TR001,Generic Training,Classroom,2026-01-09 00:00:00,2026-01-11 00:00:00,3,3,24,21.3,15.1,6.2,22.2,95.9,96,1,Yes,77,66.3,4,1,0.9,Completed,Jan-2026,2,0
6,BAT202601-01,ASS0002,Experienced,Billing,Client Alpha,TR001,CST,Floor,2026-01-12 00:00:00,2026-01-13 00:00:00,2,2,16,15.7,11.2,4.5,16.5,95.2,91,1,Yes,79.7,86.2,2,2,0.2,Completed,Jan-2026,3,0
7,BAT202601-01,ASS0002,Experienced,Billing,Client Alpha,TR001,LAW,Classroom,2026-01-14 00:00:00,2026-01-18 00:00:00,5,5,40,36.6,21.2,15.4,37.9,96.6,78,1,Yes,92,89.2,2,1,1.4,Completed,Jan-2026,3,0
8,BAT202601-01,ASS0002,Experienced,Billing,Client Alpha,TR001,OJT,Floor,2026-01-19 00:00:00,2026-02-02 00:00:00,15,15,120,111,72.5,38.5,113.2,98.1,76,1,Yes,69.3,94.6,2,1,2,Completed,Jan-2026,4,0
9,BAT202605-01,ASS0003,Fresher,AR,Revere Health,TR005,Generic Training,Hybrid,2026-05-13 00:00:00,2026-05-19 00:00:00,7,7,56,53.8,38.7,15.1,54.4,98.9,89,1,Yes,76.8,89.9,3,0,0.1,Completed,May-2026,20,0
10,BAT202605-01,ASS0003,Fresher,AR,Revere Health,TR005,CST,Classroom,2026-05-20 00:00:00,2026-05-23 00:00:00,4,4,32,28.3,16,12.3,34.2,82.7,82,1,Yes,90.3,72.9,2,1,1.3,Completed,May-2026,21,0
11,BAT202605-01,ASS0003,Fresher,AR,Revere Health,TR005,LAW,Hybrid,2026-05-24 00:00:00,2026-06-02 00:00:00,10,10,80,80,76,4,75.9,105.4,78,2,No,84.4,80.5,16,0,5,Completed,May-2026,21,0
12,BAT202606-01,ASS0003,Fresher,AR,Revere Health,TR005,OJT,Floor,2026-06-03 00:00:00,2026-06-27 00:00:00,25,25,200,190.2,162.5,27.7,211.7,89.8,74,1,Yes,89.3,63.1,8,0,1,Completed,Jun-2026,23,0
13,BAT202606-01,ASS0004,Experienced,AUTH,Revere Health,TR001,Generic Training,Classroom,2026-06-25 00:00:00,2026-06-27 00:00:00,3,3,24,23,17.7,5.3,23.1,99.6,80,1,Yes,88.7,85.4,0,1,0.8,Completed,Jun-2026,26,0
14,BAT202606-01,ASS0004,Experienced,AUTH,Revere Health,TR001,CST,Floor,2026-06-28 00:00:00,2026-06-29 00:00:00,2,2,16,15.1,11.8,3.3,15.5,97.4,71,1,Yes,79.2,71.7,2,1,1.2,Completed,Jun-2026,26,0
15,BAT202606-01,ASS0004,Experienced,AUTH,Revere Health,TR001,LAW,Virtual,2026-06-30 00:00:00,2026-07-03 00:00:00,5,4,40,36.3,25.7,10.6,37.6,96.5,66,2,No,100,81.6,4,2,5.7,Completed,Jun-2026,27,0
16,BAT202607-01,ASS0004,Experienced,AUTH,Revere Health,TR001,OJT,Hybrid,2026-07-04 00:00:00,2026-07-17 00:00:00,15,14,120,109,79,30,126.5,86.2,75,1,Yes,96.9,90.3,6,1,0.3,Completed,Jul-2026,27,0
17,BAT202605-01,ASS0005,Fresher,Payment Posting,Client Delta,TR008,Generic Training,Classroom,2026-05-02 00:00:00,2026-05-09 00:00:00,8,8,64,61.6,54.5,7.1,59.8,103,68,3,No,100,70.2,0,2,2.1,Completed,May-2026,18,0
